id,name_en,name_hi,category,water_requirement_mm_per_season,irrigation_frequency_days,fertilizer_n_kg_per_ha,fertilizer_p_kg_per_ha,fertilizer_k_kg_per_ha,notes
777,Curry Leaves - Hybrid #77,करी पत्ता,Herb,568.5,6,89.2,22.2,99.7,"Estimated values — region, variety and management dependent. Validate locally before use."
508,Orange - Variety A,संतरा,Fruit,970.7,16,271.9,83.2,193.5,"Estimated values — region, variety and management dependent. Validate locally before use."
896,Curry Leaves #96,करी पत्ता,Herb,578.8,12,115.7,71.3,99.4,"Estimated values — region, variety and management dependent. Validate locally before use."
923,Rubber - Variety A #23,रबर,Plantation,901.7,15,253.4,176.0,235.0,"Estimated values — region, variety and management dependent. Validate locally before use."
34,Grapes - High Yielding,अंगूर,Fruit,1138.9,12,209.5,127.6,130.3,"Estimated values — region, variety and management dependent. Validate locally before use."
484,Oats - High Yielding,जई,Cereal,677.2,14,123.2,30.8,28.0,"Estimated values — region, variety and management dependent. Validate locally before use."
86,Vanilla,वैनिला,Spice,510.7,15,190.1,50.4,57.8,"Estimated values — region, variety and management dependent. Validate locally before use."
751,Pear #51,नाशपाती,Fruit,1282.5,17,209.5,141.7,294.8,"Estimated values — region, variety and management dependent. Validate locally before use."
355,Job's Tears - Short Duration,हज़ारमुखी,Cereal,485.8,12,152.8,32.5,63.1,"Estimated values — region, variety and management dependent. Validate locally before use."
524,Potato - High Yielding,आलू,Vegetable,487.9,5,131.9,54.6,150.9,"Estimated values — region, variety and management dependent. Validate locally before use."
185,Peas - Short Duration,मटर,Vegetable,676.1,10,163.0,83.3,138.8,"Estimated values — region, variety and management dependent. Validate locally before use."
810,Sesbania - Short Duration #10,सेसबानिया,Fodder,548.2,8,111.3,24.9,51.5,"Estimated values — region, variety and management dependent. Validate locally before use."
419,Mint - High Yielding,पुदीना,Herb,381.4,12,61.5,49.5,71.5,"Estimated values — region, variety and management dependent. Validate locally before use."
616,Coconut #16,नारियल,Plantation,1502.6,25,284.1,233.5,122.5,"Estimated values — region, variety and management dependent. Validate locally before use."
683,Tea - Variety A #83,चाय,Plantation,1711.1,16,198.5,148.3,308.9,"Estimated values — region, variety and management dependent. Validate locally before use."
502,Banana - Hybrid,केला,Fruit,1489.8,14,245.6,130.2,330.9,"Estimated values — region, variety and management dependent. Validate locally before use."
761,Garlic #61,लहसुन,Vegetable,330.2,5,173.6,70.3,170.7,"Estimated values — region, variety and management dependent. Validate locally before use."
50,Colocasia (Arbi) - Short Duration,अरबी,Vegetable,334.3,8,161.1,113.6,125.0,"Estimated values — region, variety and management dependent. Validate locally before use."
733,Castor - Variety A #33,अरंडी,Oilseed,305.9,21,51.6,33.3,27.4,"Estimated values — region, variety and management dependent. Validate locally before use."
337,Napier - Hybrid,नेपियर,Fodder,550.0,7,173.9,75.6,116.5,"Estimated values — region, variety and management dependent. Validate locally before use."
451,Lucerne (Alfalfa),अल्फाल्फा,Fodder,780.8,10,206.3,42.2,89.7,"Estimated values — region, variety and management dependent. Validate locally before use."
791,Amaranth (Chaulai) #91,चौलाई,Leafy Vegetable,637.8,7,179.7,64.5,76.1,"Estimated values — region, variety and management dependent. Validate locally before use."
351,Foxtail Millet,कुटकी,Cereal,332.5,17,172.5,30.6,32.6,"Estimated values — region, variety and management dependent. Validate locally before use."
468,Ridge Gourd - Variety A,तोरई,Vegetable,319.0,7,144.5,84.2,49.0,"Estimated values — region, variety and management dependent. Validate locally before use."
623,Guava - Variety A #23,अमरुद,Fruit,821.3,13,149.9,182.7,231.5,"Estimated values — region, variety and management dependent. Validate locally before use."
477,Wheat - Hybrid,गेहूं,Cereal,575.7,8,140.1,59.0,23.2,"Estimated values — region, variety and management dependent. Validate locally before use."
615,Linseed (Flax) - Short Duration #15,अलसी,Oilseed,366.7,13,122.4,31.2,57.8,"Estimated values — region, variety and management dependent. Validate locally before use."
555,Turmeric - Short Duration,हल्दी,Spice,913.6,8,157.8,45.0,86.9,"Estimated values — region, variety and management dependent. Validate locally before use."
366,Sugarcane,गन्ना,Cash Crop,490.0,11,33.2,65.5,155.2,"Estimated values — region, variety and management dependent. Validate locally before use."
771,Cauliflower #71,फूलगोभी,Vegetable,384.3,9,206.2,72.7,80.7,"Estimated values — region, variety and management dependent. Validate locally before use."
631,Apple #31,सेब,Fruit,1428.7,20,143.4,85.5,179.5,"Estimated values — region, variety and management dependent. Validate locally before use."
941,Pumpkin #41,कद्दू,Vegetable,658.6,9,207.3,110.2,109.6,"Estimated values — region, variety and management dependent. Validate locally before use."
798,Clove - Variety A #98,लौंग,Spice,383.5,7,117.1,75.7,43.4,"Estimated values — region, variety and management dependent. Validate locally before use."
497,Coconut - Hybrid,नारियल,Plantation,1126.5,19,222.2,236.4,159.9,"Estimated values — region, variety and management dependent. Validate locally before use."
925,Mustard Greens - Short Duration #25,सरसों का साग,Leafy Vegetable,472.1,6,68.2,72.0,116.3,"Estimated values — region, variety and management dependent. Validate locally before use."
370,Soybean - Short Duration,सोयाबीन,Oilseed,341.1,15,120.4,35.6,28.9,"Estimated values — region, variety and management dependent. Validate locally before use."
597,Rice - Hybrid #97,धान,Cereal,518.6,19,109.4,20.3,44.6,"Estimated values — region, variety and management dependent. Validate locally before use."
721,Barley #21,जौ,Cereal,605.4,8,95.5,37.3,45.8,"Estimated values — region, variety and management dependent. Validate locally before use."
54,Radish - High Yielding,मूली,Vegetable,613.7,6,114.7,97.3,78.2,"Estimated values — region, variety and management dependent. Validate locally before use."
427,Chickpea (Chana) - Hybrid,चना,Pulse,367.9,12,46.4,16.7,10.1,"Estimated values — region, variety and management dependent. Validate locally before use."
57,Cauliflower - Hybrid,फूलगोभी,Vegetable,344.0,5,166.0,50.6,95.8,"Estimated values — region, variety and management dependent. Validate locally before use."
265,Papaya - Short Duration,पपीता,Fruit,786.2,20,261.4,72.2,125.7,"Estimated values — region, variety and management dependent. Validate locally before use."
773,Spinach - Variety A #73,पालक,Vegetable,768.9,9,137.4,100.6,47.4,"Estimated values — region, variety and management dependent. Validate locally before use."
186,French Beans,फ्रेंच बीन्स,Vegetable,440.9,9,236.6,119.8,159.5,"Estimated values — region, variety and management dependent. Validate locally before use."
467,Bitter Gourd (Karela) - Hybrid,करेला,Vegetable,710.4,10,93.7,119.3,144.0,"Estimated values — region, variety and management dependent. Validate locally before use."
790,Buckwheat (Kuttu) - Short Duration #90,कुट्टू,Other,802.9,7,84.6,59.8,127.1,"Estimated values — region, variety and management dependent. Validate locally before use."
175,Cabbage - Short Duration,पत्तागोभी,Vegetable,792.3,6,203.4,107.0,132.8,"Estimated values — region, variety and management dependent. Validate locally before use."
151,Orange,संतरा,Fruit,1173.3,14,117.8,85.0,166.1,"Estimated values — region, variety and management dependent. Validate locally before use."
742,Guava - Hybrid #42,अमरुद,Fruit,1195.9,8,326.2,146.7,214.2,"Estimated values — region, variety and management dependent. Validate locally before use."
114,Kodo Millet - High Yielding,कोदो,Cereal,389.7,8,173.7,46.1,65.3,"Estimated values — region, variety and management dependent. Validate locally before use."
429,Black Gram (Urad) - High Yielding,उड़द,Pulse,363.8,13,22.4,20.4,18.3,"Estimated values — region, variety and management dependent. Validate locally before use."
966,Groundnut (Peanut) #66,मूँगफली,Oilseed,335.9,13,40.9,21.3,67.0,"Estimated values — region, variety and management dependent. Validate locally before use."
19,Castor - High Yielding,अरंडी,Oilseed,428.5,19,79.9,26.6,79.9,"Estimated values — region, variety and management dependent. Validate locally before use."
190,Pigeon Pea (Tur/Arhar) - Short Duration,अरहर/तुअर,Pulse,454.5,12,18.5,12.4,36.1,"Estimated values — region, variety and management dependent. Validate locally before use."
415,Broccoli - Short Duration,ब्रोकली,Vegetable,772.4,8,155.9,96.3,52.5,"Estimated values — region, variety and management dependent. Validate locally before use."
590,Kodo Millet - Short Duration,कोदो,Cereal,621.2,18,168.9,36.8,39.3,"Estimated values — region, variety and management dependent. Validate locally before use."
667,Black Gram (Urad) - Hybrid #67,उड़द,Pulse,541.2,19,21.4,11.8,21.6,"Estimated values — region, variety and management dependent. Validate locally before use."
764,Colocasia (Arbi) - High Yielding #64,अरबी,Vegetable,542.1,4,174.7,40.0,54.5,"Estimated values — region, variety and management dependent. Validate locally before use."
222,Hemp - Hybrid,भांग,Fiber,806.4,15,93.1,33.0,144.4,"Estimated values — region, variety and management dependent. Validate locally before use."
587,Ridge Gourd - Hybrid,तोरई,Vegetable,361.7,8,194.6,49.2,158.5,"Estimated values — region, variety and management dependent. Validate locally before use."
582,Watermelon - Hybrid,तरबूज,Fruit,946.1,12,230.8,167.4,280.2,"Estimated values — region, variety and management dependent. Validate locally before use."
300,Mint - Short Duration,पुदीना,Herb,358.6,9,43.6,79.6,51.2,"Estimated values — region, variety and management dependent. Validate locally before use."
639,Brinjal (Eggplant) - High Yielding #39,बैंगन,Vegetable,343.5,9,240.1,71.6,56.2,"Estimated values — region, variety and management dependent. Validate locally before use."
387,Sapota (Chikoo) - Hybrid,चीकू,Fruit,700.8,8,243.4,131.5,323.9,"Estimated values — region, variety and management dependent. Validate locally before use."
365,Oats - Short Duration,जई,Cereal,605.5,12,85.4,22.0,53.7,"Estimated values — region, variety and management dependent. Validate locally before use."
880,Garlic - Short Duration #80,लहसुन,Vegetable,764.5,7,205.1,108.4,145.5,"Estimated values — region, variety and management dependent. Validate locally before use."
335,Sunhemp - Short Duration,सनहेम्प,Fodder,486.3,12,219.6,68.6,156.1,"Estimated values — region, variety and management dependent. Validate locally before use."
17,Sunflower - Hybrid,सूरजमुखी,Oilseed,363.8,17,79.6,47.4,47.5,"Estimated values — region, variety and management dependent. Validate locally before use."
203,Clove - Variety A,लौंग,Spice,528.7,13,71.6,33.2,117.1,"Estimated values — region, variety and management dependent. Validate locally before use."
2,Rice - Hybrid,धान,Cereal,341.0,18,187.1,23.5,45.3,"Estimated values — region, variety and management dependent. Validate locally before use."
39,Plum - High Yielding,आलूबुखारा,Fruit,1263.1,19,201.8,64.1,264.7,"Estimated values — region, variety and management dependent. Validate locally before use."
291,Carrot,गाजर,Vegetable,326.2,6,195.0,59.0,111.1,"Estimated values — region, variety and management dependent. Validate locally before use."
494,Safflower - High Yielding,कुर्कुम,Oilseed,495.3,19,53.6,29.6,76.8,"Estimated values — region, variety and management dependent. Validate locally before use."
248,Cotton - Variety A,कपास,Fiber,570.4,9,178.6,78.3,51.0,"Estimated values — region, variety and management dependent. Validate locally before use."
507,Pineapple - Hybrid,अनानास,Fruit,1275.9,8,102.6,88.8,227.7,"Estimated values — region, variety and management dependent. Validate locally before use."
897,Chilli (Hot Pepper) - Hybrid #97,मिर्च,Spice,702.4,18,119.7,57.7,107.1,"Estimated values — region, variety and management dependent. Validate locally before use."
714,Honey - High Yielding #14,शहद,Other,294.2,7,176.0,74.2,189.4,"Estimated values — region, variety and management dependent. Validate locally before use."
892,Spinach - Hybrid #92,पालक,Vegetable,742.2,4,236.3,84.0,156.2,"Estimated values — region, variety and management dependent. Validate locally before use."
77,Amaranth (Chaulai) - Hybrid,चौलाई,Leafy Vegetable,721.8,5,190.9,26.9,117.0,"Estimated values — region, variety and management dependent. Validate locally before use."
912,Turmeric - Hybrid #12,हल्दी,Spice,575.6,17,179.7,65.7,41.7,"Estimated values — region, variety and management dependent. Validate locally before use."
793,Turmeric - Variety A #93,हल्दी,Spice,591.6,17,96.3,75.2,22.3,"Estimated values — region, variety and management dependent. Validate locally before use."
509,Lemon - High Yielding,नींबू,Fruit,909.4,17,247.1,125.1,186.2,"Estimated values — region, variety and management dependent. Validate locally before use."
